piece,big5,race,religion,count,demvote,issues,partisan_score,ticket_splitters,percent,support,repcomp,demcomp
Other White Straight College degree Suburban Married women,Mosaic middle,White,Other,477.169118,54.11387444,0.633326686,52.18757392,8.127941898,0.23204109,Mixed,0.110944474,0.121096615
Agnostic White Straight College degree Suburban Married women,Secular,White,Agnostic,476.1873496,89.20456488,0.841257194,86.80723513,2.993733083,0.231563668,Democratic,0.03054965,0.201014018
Catholic White Straight College degree Rural Unmarried women,Mosaic middle,White,Catholic,475.5870659,48.29475293,0.6029362,49.14147791,9.493894985,0.231271758,Mixed,0.117621398,0.11365036
Atheist White Straight College degree Urban Married men,Secular,White,Atheist,474.2352486,92.20688837,0.84663781,90.30934949,2.735551111,0.230614387,Democratic,0.022348034,0.208266353
Atheist White Straight No degree Suburban Married men,Secular,White,Atheist,474.0404655,78.01665433,0.723236018,74.5709123,3.137377437,0.230519667,Democratic,0.058619048,0.171900619
Agnostic White Straight No degree Suburban Unmarried men,Secular,White,Agnostic,472.2506179,66.64539729,0.658071105,61.99638911,7.075392927,0.229649287,Mixed,0.087275022,0.142374266
Evangelical Hispanic Straight No degree Suburban Married women,Mosaic middle,Hispanic,Evangelical,470.9838237,32.44058676,0.498749953,40.43593108,8.450830201,0.229033262,Mixed,0.13642153,0.092611732
Evangelical Black Straight No degree Suburban Unmarried men,Black people,Black,Evangelical,467.9655974,73.12267892,0.620285102,71.56280202,4.095565415,0.227565538,Democratic,0.064713263,0.162852275
Nothing in particular White Straight No degree Urban Married women,Mosaic middle,White,Nothing in particular,457.4867747,61.58643271,0.625263437,57.54809996,7.737576265,0.222469824,Mixed,0.094442667,0.128027157
Atheist White Straight No degree Suburban Unmarried men,Secular,White,Atheist,454.1104066,84.04297547,0.730213067,72.97051746,2.790921966,0.22082794,Democratic,0.05968865,0.161139291
Evangelical Black Straight College degree Suburban Unmarried women,Black people,Black,Evangelical,452.2129484,87.16847016,0.698943844,84.17310008,4.296317393,0.219905231,Democratic,0.034804181,0.18510105
Evangelical Black Straight No degree Suburban Married women,Black people,Black,Evangelical,451.6738137,88.81953577,0.659798443,82.89331925,2.892756499,0.219643057,Democratic,0.037573637,0.182069421
Nothing in particular Black Straight No degree Urban Unmarried women,Black people,Black,Nothing in particular,449.6083486,94.54366021,0.688485051,82.26287033,3.43652893,0.218638649,Democratic,0.038780221,0.179858428
Protestant White Straight No degree Urban Unmarried men,Mosaic middle,White,Protestant,444.5582103,35.4141106,0.528770721,37.82777682,5.879293796,0.216182832,Mixed,0.134405673,0.081777159
Catholic Hispanic Straight No degree Suburban Unmarried women,Mosaic middle,Hispanic,Catholic,440.1877956,72.01143531,0.654273861,72.33826892,4.288850562,0.214057557,Democratic,0.059212026,0.154845531
Atheist White Straight No degree Rural Married men,Secular,White,Atheist,437.3854009,73.76123691,0.703692014,73.55345497,5.05846031,0.212694789,Democratic,0.056250423,0.156444366
Evangelical Black Straight College degree Urban Unmarried women,Black people,Black,Evangelical,434.9317712,87.10800066,0.702238526,81.30215794,7.038029316,0.211501621,Democratic,0.039546239,0.171955382
Catholic Hispanic Straight No degree Urban Married women,Mosaic middle,Hispanic,Catholic,432.1351483,74.31203924,0.645318151,72.9090207,8.284987093,0.21014166,Democratic,0.056929434,0.153212227
Other White Straight No degree Suburban Married women,Mosaic middle,White,Other,427.3045461,40.25451903,0.541099289,38.97813935,7.993614153,0.207792602,Mixed,0.126798912,0.08099369
Nothing in particular White Straight College degree Urban Married women,Mosaic middle,White,Nothing in particular,424.6029953,78.70461489,0.760672992,76.12422708,5.250478463,0.206478873,Democratic,0.049298427,0.157180446
Agnostic White Straight No degree Rural Married men,Secular,White,Agnostic,422.2256624,49.83084338,0.569054484,52.9667714,5.761744086,0.205322807,Mixed,0.096569945,0.108752862
Agnostic White Straight No degree Suburban Married men,Secular,White,Agnostic,418.7951012,59.47154883,0.629635149,59.31846651,5.060827886,0.20365457,Mixed,0.082849802,0.120804768
Agnostic White Straight No degree Rural Unmarried men,Secular,White,Agnostic,405.5690087,53.66303917,0.629921541,55.04129142,4.911033638,0.197222895,Mixed,0.088668866,0.108554028
Evangelical Hispanic Straight No degree Suburban Married men,Mosaic middle,Hispanic,Evangelical,405.3044398,45.69519226,0.50587331,51.25722323,6.044745185,0.197094238,Mixed,0.096069205,0.101025034
Other White Straight No degree Rural Unmarried women,Mosaic middle,White,Other,405.279655,46.68613377,0.603291256,45.46553801,4.792865761,0.197082186,Mixed,0.10747771,0.089604476
Atheist White Straight College degree Suburban Unmarried men,Secular,White,Atheist,404.5226563,84.40843755,0.80203628,82.93972567,3.391458454,0.196714067,Democratic,0.03355996,0.163154108
Evangelical Black Straight No degree Rural Married women,Black people,Black,Evangelical,395.7407418,84.75296481,0.619975189,82.85115026,4.492152719,0.192443537,Democratic,0.033001853,0.159441684
Agnostic White Straight College degree Suburban Unmarried women,Secular,White,Agnostic,392.8234073,89.03176956,0.827729255,85.97831172,4.215324462,0.191024876,Democratic,0.026784913,0.164239963
Atheist White Straight College degree Urban Unmarried women,Secular,White,Atheist,385.9869464,93.63652372,0.884617134,93.94945174,2.625467146,0.187700394,Democratic,0.011356903,0.176343491
Nothing in particular White Straight College degree Suburban Unmarried men,Mosaic middle,White,Nothing in particular,384.6589612,58.15415598,0.622066256,56.53167802,6.934530271,0.187054613,Mixed,0.081309501,0.105745111
Atheist White Straight College degree Suburban Unmarried women,Secular,White,Atheist,383.3245627,95.14632987,0.858979862,91.43770003,2.018548814,0.186405712,Democratic,0.015960616,0.170445096
Evangelical White Straight College degree Urban Unmarried men,White evangelicals,White,Evangelical,381.560835,23.88849345,0.446094472,29.73661499,9.595598662,0.185548034,Republican,0.13037233,0.055175705
Evangelical Hispanic Straight No degree Urban Married women,Mosaic middle,Hispanic,Evangelical,376.3923315,55.14893928,0.555922975,53.26639122,4.392176925,0.183034659,Mixed,0.085538701,0.097495957
